$,maintenance check indicator
BMS,basic meteorological services
BN,blowing sand
BND,bound
BNDRY,boundary
BNDRYS,boundaries
BNK,bank
BNTH,beneath
BOOTHEEL,Bootheel
BOVC,base of overcast
BR,branch
BRF,brief
BRG,branching/bearing
BRK,break
BRKG,breaking
BRKHIC,breaks in higher clouds
BRKS,breaks
BRKSHR,Berkshire
BRKSHRS,Berkshires
BRM,barometer
BRS,branches
BS,blowing snow
BTL,between layers
BTN,between
BTWN,between
BYD,by day/beyond
C,center
CA,California
CAA,cold air advection
CAAS,Class A Airspace
CADIS,Canadian Air Defense Identification Zone
CAN,Canada
CARIB,Caribbean
CARS,Community Airport Radio Station
CASCDS,Cascades
CAT,clear air turbulence/category
CAVOK,ceiling and visibility OK
CAVU,ceiling and visibility unlimited
CAWS,common aviation weather sub-system
CB,cumulonimbus cloud
CBAS,Class B Airspace
CBMAM,cumulonimbus mammatus cloud
CBS,cumulonimbi
CBSA,Class B Surface Area
CC,cirrocumulus cloud
CCAS,Class C Airspace
CCLDS,clear of clouds
CCLKWS,counter-clockwise
CCSA,Class C Surface Area
CCSL,cirrocumulus standing lenticular cloud
CD,Clearance Delivery
CDAS,Class D Airspace
CDFNT,cold front
CDFNTL,cold frontal
CDI,Course Deviation Indicator
CDSA,Class D Surface Area
CDT,Central Daylight Time
CEAS,Class E Airspace
CEIL,ceiling
CESA,Class E Surface Area
CFP,cold front passage
CFR,Code of Federal Regulations
CG,cloud-to-ground
CGAS,Class G Airspace
CGL,Circling Guidance Lights
CH,channel/critical height
CHAN,channel
CHARC,characteristic
CHC,chance
CHCS,chances
CHG,change
CHGD,changed
CHGG,changing
CHGS,changes
CHI,cloud-height indicator
CHINO,sky condition at secondary location not available
CHSPK,Chesapeake
CI,cirrus
CIG,ceiling
CIGS,ceilings
CK,check
CL,centerline
CLD,cloud
CLDNS,cloudiness
CLDS,clouds
CLKWS,clockwise
CLR,clear sky/clearance/clear(s)/cleared to
CLRG,clearing
CLRS,clears
CLSD,closed
CMB,climb
CMNPS,Canadian Minimum Navigation Performance Specification
CMPLX,complex
CMSND,commissioned
CNCL,cancel
CNCLD,cancelled
CNCLG,cancelling
CNCLS,cancels
CNDN,Canadian
CNF,Computer Navigation Fix
CNFDC,confidence
CNL,cancel
CNTR,center
CNTRD,centered
CNTRL,central
CNTRLN,centerline
CNTRS,Centers
CNTY,County
CNTYS,Counties
CNVG,converge
CNVGG,converging
CNVGNC,convergence
CNVTN,convection
CNVTV,convective
CNVTVLY,convectively
CO,Colorado/county
COM,communications
COMLO,Compass Locator
COMM,communications
COMPAR,compare
COMPARD,compared
COMPARG,comparing
COMPARS,compares
CONC,concrete
COND,conditions
CONDS,conditions
CONFDC,confidence
CONS,constant/continuous
CONT,continue/countinuous
CONTD,continued
CONTDVD,Continental Divide
CONTG,continuing
CONTLY,continually
CONTRAILS,Condensation Trails
CONTS,continues
CONUS,Continental U.S.
COORD,coordinate(s)
COP,Change Over Point
COR,correction to a previously disseminated observation
CORR,corridor
CP,Command Post
CPBL,capable
CPD,coupled
CPT,Clearance-Pre-Taxi Procedure
CRC,circle
CRCLC,circulate
CRCLN,circulation
CRNR,corner
CRNRS,corners
CRP,Compulsory Reporting Point
CRS,course
CS,cirrostratus
CSDR,consider
CSDRBL,considerable
CST,coast/Central Standard Time
CSTL,coastal
CT,Connecticut
CTA,Control Area
CTAF,Common Traffic Advisory Frequency
CTC,contact
CTGY,category
CTL,control
CTR,control zone
CTSKLS,Catskills
CU,cumulus
CUCON,cumulus congestus cloud
CUFRA,cumulus fractus
CUHU,cumulus humilis cloud
CUMED,cumulus medicoris cloud
CVFR,Controlled VFR
CVR,cover
CVRD,covered
CVRG,covering
CVRS,covers
CYC,cyclonic
CYCLGN,cyclogenesis
D-ATIS,digital ATIS
DA,decision altitude
DABRK,daybreak
DALGT,day light
DALR,dry adiabatic lapse rate
DATA,data
DBL,double
DC,District of Columbia
DCAVU,ceiling and visibility unlimited, remainder of report missing
DCR,decrease
DCRD,decreased
DCRG,decreasing
DCRGLY,decreasingly
DCRS,decreases
DCT,direct
DE,Delaware
DECMSND,decommissioned
DEG,degree
DEGS,degrees
DELMARVA,Delaware-Maryland-Virginia
DEP,departure
DEPTH,depth
DER,departure end of runway
DEWIZ,Distance Early Warning Identification Zone
DFCLT,difficult
DFCLTY,difficulty
DFNT,definite
DFNTLY,definitely
DFRS,differs
DFUS,diffuse
DGNL,diagonal
DGNLLY,diagonally
DH,decision height
DIGG,digging
DIR,direction
DISABLD,disabled
DISC,discontinue
DISCD,discontinued
DISCG,discontinuing
DISPL,displaced
DISRE,disregard
DISRED,disregarded
DISREG,disregarding
DIST,distance
DKTS,Dakotas
DLA,delay
DLAD,delayed
DLT,delete
DLTD,deleted
DLTG,deleting
DLY,daily
DME,Distance-Measuring Equipment
DMG,damage
DMGD,damaged
DMGG,damaging
DMNT,dominant
DMSH,diminish
DMSHD,diminished
DMSHG,diminishing
DMSHS,diminishes
DMSTN,demonstration
DNDFTS,downdrafts
DNS,dense
DNSLP,downslope
DNSTRM,downstream
DNWND,down wind
DOC,Department of Commerce
DOD,Department of Defense
DOM,domestic
DOT,Department of Transportation
DP,deep
DPND,deepened
DPNG,deepening
DPNS,deepens
DPR,deeper
DPTH,depth
DRFT,drift/snowbank(s) caused by wind action
DRFTD,drifted
DRFTG,drifting
DRFTS,drifts
DRY,dry
DRZL,drizzle
DSCNT,descent
DSIPT,dissipate
DSIPTD,dissipated
DSIPTG,dissipating
DSIPTN,dissipation
DSIPTS,dissipates
DSND,descend
DSNDG,descending
DSNDS,descends
DSNT,distant
DSPLCD,displaced
DSPTD,dissipated
DSTBLZ,destabilize
DSTBLZD,destabilized
DSTBLZG,destablizing
DSTBLZN,destablization
DSTBLZS,destablizes
DSTC,distance
DTLN,International Dateline
DTRT,deteriorate
DTRTD,deteriorated
DTRTG,deteriorating
DTRTS,deteriorates
DURC,during climb
DURD,during decent
DURG,during
DURN,duration
DVLP,develop
DVLPD,developed
DVLPG,developing
DVLPMT,development
DVLPS,develops
DVR,dispatch visual range
DVRG,diverge
DVRGG,diverging
DVRGNC,divergence
DVRGS,diverges
DVV,downward vertical velocity
DWNDFTS,downdrafts
DWPNT,dewpoint
DWPNTS,dewpoints
DX,duplex
E,east
EAT,Expected Approach Time
EBND,east bound
ECMWF,European Centre for Medium Range Weather Forecasts
EDT,Eastern Daylight Time
EET,Estimated Elapsed Time
EFAS,En-route Flight Advisory Service
EFCT,effect
EFF,effective
ELEV,elevation
ELNGT,elongate
ELNGTD,elongated
ELR,environmental lapse rate
ELSW,elsewhere
EMBD,embedded
EMBDD,embedded
EMERG,emergency
EMSU,environment meteorological support unit
ENCTR,encounter
ENDG,ending
ENE,east-northeast
ENELY,east-northeasterly
ENERN,east-northeastern
ENEWD,east-northeastward
ENG,engine
ENHNC,enhance
ENHNCD,enhanced
ENHNCG,enhancing
ENHNCMNT,enhancement
ENHNCS,enhances
ENRT,en-route
ENTR,entire
EOBT,Estimated Off-Block Time
EOF,expected operations forecast
ERN,eastern
ERY,early
ERYR,earlier
ESE,east-southeast
ESELY,east-southeasterly
ESERN,east-southeastern
ESEWD,east-southeastward
ESNTL,essential
EST,Eastern Standard Time
ESTAB,establish
ESTIMATE,estimate
ESTMD,estimated
ESTS,estimates
ETA,Estimated Time of Arrival
ETC,et cetera
ETD,Estimated Time of Departure
ETE,Estimated Time En-route
ETIM,elapsed time
ETOPS,Extended Range Operations
EUMETSTAT,European Meteorological Satellite
EVE,evening
EWD,eastward
EXC,except
EXCLV,exclusive
EXCLVLY,exclusively
EXCP,except
EXPC,expect
EXPCD,expected
EXPCG,expecting
EXTD,extend
EXTDD,extended
EXTDG,extending
EXTDS,extends
EXTN,extension
EXTRAP,extrapolate
EXTRAPD,extrapolated
EXTRM,extreme
EXTRMLY,extremely
EXTSV,extensive
F,Farenheit
FA,aviation area forecast
FAA,Federal Aviation Administration
FAC,facility/facilities
FAF,Final Approach Fix
FAH,Farenheit
FAM,familiar
FAP,Final Approach Point
FAR,Federal Aviation Regulation
FCP,Final Control Point
FCST,forecast
FCSTD,forecasted
FCSTG,forecasting
FCSTR,forecaster
FCSTS,forecasts
FDC,Flight Data Center
FEW,few
FI/P,Flight Inspection Permanent
FI/T,Flight Inspection Temporary
FIBI,filed but impracticable to transmit
FIC,Flight Information Center
FIG,figure
FILG,filling
FINO,weather report will not be filed for transmission
FIR,Flight Information Region
FIRAV,first available
FIRST,first observation after a break in coverage at manual station
FIS,Flight Information Service
FL,Florida/flight level
FLD,field/flood
FLDST,flood stage
FLG,falling/flashing
FLOP,floating-point operation
FLOPS,floating-point operations
FLRY,flurry
FLRYS,flurries
FLT,flight
FLW,follow
FLWG,following
FLWIS,flood warning issued
FM,from
FMH-1,Federal Meteorological Handbook No.1, Surface Weather Observations & Reports (METAR)
FMH2,Federal Meteorological Handbook No.2, Surface Synoptic Codes
FMS,Flight Management System
FMT,format
FNA,final approach
FNCTN,function
FNT,front
FNTGNS,frontogenesis
FNTL,frontal
FNTLYS,frontolysis
FNTS,fronts
FORNN,forenoon
FPM,feet per minute
FPS,feet per second
FQT,frequent
FQTLY,frequently
FREQ,frequency
FRH,fly runway heading
FRI,friday
FRM,form
FRMG,forming
FRMN,formation
FROIN,Frost On The Indicator
FROPA,frontal passage
FROSFC,frontal surface
FRQ,frequent
FRST,frost
FRWF,forecast wind factor
FRZ,freeze
FRZG,freezing
FRZLVL,freezing level
FRZN,frozen
FSS,Flight Service Station
FT,feet
FTHR,further
FTS,Flexible Track System
FULYR,smoke layer aloft
FUOCTY,smoke over city
FVRBL,favorable
FWC,fleet weather central
FWD,forward
FYI,for your information
FZRANO,freezing rain sensor not available
G,gust
G/S,ground speed
GA,Georgia/general aviation
GARP,Global Atmospheric Research Programme
GC,Ground Control
GCA,Ground Controlled Approach
GCM,Global Computer Model
GCO,Ground Communication Outlet
GEN,general
GENLY,generally
GEO,geographic
GEOREF,geographical reference
GEOS,geostationary satellite
GF,ground fog
GICG,glaze icing
GLFALSK,Gulf of Alaska
GLFCAL,Gulf of California
GLFMEX,Gulf of Mexico
GLFSTLAWR,Gulf of St. Lawrence
GLONASS,Global Orbiting Navigation Satellite System
GMT,Grenwich Mean Time
GND,ground
GNDFG,ground fog
GNSS,Global Navigation Satellite System
GOVT,government
GP,glidepath
GPS,Global Positioning System
GRAD,gradient
GRBNKS,Grand Banks
GRDL,gradual
GRDLY,gradually
GRN,green
GRT,great
GRTLKS,Great Lakes
GRTLY,greatly
GRTR,greater
GRTST,greatest
GRVL,gravel
GS,glide slope
GSTS,gusts
GSTY,gusty
GTS,Global Telecommunications System
GV,ground visibility
GWT,gross weight
H24,24 hour service
HAA,height above airport
HAS,height above site
HAT,height above touchdown
HAZ,hazard
HC,critical height
HCVIS,high clouds visible
HDFRZ,hard freeze
HDG,heading
HDSVLY,Hudson Valley
HDWND,head wind
HEL,helicopter
HELI,heliport
HFS,high-friction surface
HGT,height
HI,high
HIALS,High Intensity Approach Light System
HIEAT,highest temperature equaled for all time
HIEFM,highest temperature equaled for the month
HIER,higher
HIESE,highest temperature equaled so early
HIESL,highest temperature equaled so late
HIFOR,high level forecast
HIRL,High Intensity Runway Lights
HITMP,highest temperature
HIWAS,Hazardous Inflight Weather Advisory Service
HIXAT,highest temperature exceeded for all time
HIXFM,highest temperature exceeded for the month
HIXSE,highest temperature exceeded so early
HIXSL,highest temperature exceeded so late
HJ,sunrise-to-sunset
HLDG,holding
HLF,half
HLSTO,hailstone
HLTP,hilltop
HLYR,haze layer aloft
HN,sunset-to-sunrise
HND,hundred
HO,by operational requirements
HOL,holiday
HP,holding pattern
HR,hour
HRS,hours
HRZN,horizon
HS,during hours of scheduled operations
HST,high speed taxiway turn-off
HTG,heating
HURCN,hurricane
HUREP,hurricane report
HV,have
HVY,heavy
HVYR,heavier
HVYST,heaviest
HWVR,however
HWY,highway
HX,high index
HZ,hertz
IA,Iowa
IAF,Initial Approach Fix
IAP,Instrument Approach Procedure
IAS,Indicated Airspeed
IBN,Identification Beacon
IC,ice
ICAO,International Civil Aviation Organization
ICG,icing
ICGIC,icing in clouds
ICGICIP,icing in clouds and precipitation
ICGIP,icing in precipitation
ID,Idaho/identification
IDENT,identification
IF,Intermediate Fix
IFR,IFR
IGS,Instrument Guidance System
IL,Illinois
ILS,Instrument Landing System
IM,Inner Marker
IMC,Instrument Meteorological Conditions
IMDT,immediate
IMDTLY,immediately
IMO,International Meteorological Organization (now WMO)
IMPL,impulse
IMPLS,impulses
IMPT,important
IMTA,Intensive Military Training Area
INBD,inbound
INCL,include
INCLD,included
INCLG,including
INCLS,includes
INCR,increase
INCRD,increased
INCRG,increasing
INCRGLY,increasingly
INCRS,increases
INDC,indicate
INDCD,indicated
INDCG,indicating
INDCS,indicates
INDEF,indefinite
INDEFLY,indefinitely
INFO,information
INLD,inland
INOP,inoperative
INS,Inertial Navigation System
INSAT,Indian Satellite
INSTBY,instability
INSTR,instrument
INT,intersection
INTCNTL,intercontinental
INTL,international
INTMD,intermediate
INTMT,intermittent
INTMTLY,intermittently
INTO,into
INTR,interior
INTRMTRGN,intermountain region
INTS,intense
INTSFCN,intensification
INTSFY,intensify
INTSFYD,intensified
INTSFYG,intensifying
INTSFYS,intensifies
INTSTY,intensity
INTVL,interval
INVOF,in vicinity of
INVRN,inversion
IOVC,in overcast
IP,ice pellets
IPV,improve
IPVG,improving
IR,ice on runway(s)
IS,islands
ISOL,isolated
ISOLD,isolated
ITCZ,Inter-Tropical Convergence Zone
ITWS,Integrated Terminal Weather System
JAA,JOint Aviation Authorities
JCTN,junction
JTSTR,jetstream
KFRST,killing frost
KGS,kilograms
KHZ,kilohertz
KIAS,knots indicated airspeed
KLYR,smoke layer aloft
KM,kilometers
KMH,kilometers per hour
KOCTY,smoke over city
KS,Kansas
KT,knots
KTAS,knots true airspeed
KY,Kentucky
L,left
LA,Louisiana
LAA,Local Airport Advisory
LABRDR,Labrador
LACFT,large aircraft
LAHSO,land and hold short operations
LAM,Limited Area model
LAST,last observation before a break in coverage at a manual station
LAT,latitude
LAWRS,Limited Aviation Weather Reporting Station
LB,pound(s)
LBCM,locator back course marker
LBM,locator back marker
LBS,pounds
LC,Local Control
LCG,Load Classification Group
LCL,local
LCLY,locally
LCN,Load Classification Number
LCTD,located
LCTMP,little change in temperature
LCTN,location
LCTR,locator
LDG,landing
LDI,Landing Direction Indicator
LDIN,Lead-in Light System
LEVEL,level
LFM,Limited Fine Mesh Model
LFT,lift
LFTG,lifting
LGRNG,long range
LGT,light
LGTH,length
LGTR,lighter
LGWV,long wave
LI,Lifted Index
LIFR,low IFR
LIM,Locator Inner Marker
LIRL,Low Intensity Runway Lights
LIS,lifted indices
LK,lake
LKLY,likely
LKS,lakes
LLJ,low level jet
LLWAS,Low Level Wind Shear Alert System
LLWS,low level wind shear
LMM,Locator Middle Marker
LMTD,limited
LMTG,limiting
LMTS,limits
LN,line
LNDG,landing
LO,low
LOC,localizer
LOEAT,lowest temperature equaled for all tiem
LOEFM,lowest temperature equaled for the month
LOESE,lowest temperature equaled so early
LOESL,lowest temperature equaled so late
LOM,Locator Outer Marker
LONG,longitude
LONGL,longitudnal
LORAN,Long Range Navigation
LOTMP,lowest temperature
LOXAT,lowest temperature for all time
LOXFM,lowest temperature for the month
LOXSE,lowest temperature so early
LOXSL,lowest temperature so late
LRG,large
LRGLY,largely
LRGR,larger
LRGST,largest
LSALT,lowest safe altitude
LSR,loose snow on runway(s)
LST,Local Standard Time
LTD,limited
LTG,lightning
LTGCA,lightning cloud-to-air
LTGCC,lightning cloud-to-cloud
LTGCCCG,lightning cloud-to-cloud cloud-to-ground
LTGCG,lightning cloud-to-ground
LTGCW,lightning cloud-to-water
LTGIC,lightning in cloud
LTL,little
LTLCG,little change
LTNG,lightning
LTR,later
LTS,lights
LTST,latest
LV,leaving
LVL,level
LVLS,levels
LWR,lower
LWRD,lowered
LWRG,lowering
LX,low index
LYR,layer
LYRD,layered
LYRS,layers
M,meters
MA,Massachusetts
MAA,Maximum Authorized Altitude
MAG,magnetic
MAINT,maintain/maintenance
MALS,med intensity approach light system
MALSF,medium intensity approach light system with sequenced flashing lights
MALSR,medium intensity approach light system with runway alignment indicator lights
MAN,Manitoba
MAP,missed approach point
MAPT,missed approach point
MAX,maximum
MB,millibars
MBZ,mandatory broadcast zone
MCA,minimum crossing altitude
MCAF,marine corps air facility
MCD,Mesoscale discussion
MCTA,military controlled airpsace
MD,Maryland
MDA,minimum descent altitude
MDFY,modify
MDFYD,modified
MDFYG,modifying
MDL,model
MDLS,models
MDT,moderate
MDTLY,moderately
ME,Maine
MEA,minimum enroute altitude
MED,medium
MEDIUM,medium
MEGG,merging
MEHT,minimum eye height over threshold
MEML,memorial
MESO,Mesoscale
MET,meteorological
METAR,aviation routine weather report
METEOSAT,Meteorological Satellite
METRO,metropolitan
MEX,Mexico
MHA,minimum holding altitude
MHKVLY,Mohawk Valley
MHZ,megahertz
MI,Michigan/medium intensity
MIALS,Medium Intensity Approach Light System
MID,middle
MIDN,midnight
MIL,military
MIM,minimum
MIN,minimum
MIRL,Medium Intensity Runway Lights
MISG,missing
MKR,marker
MLS,Microwave Landing System
MLTLVL,melting level
MM,middle marker
MMO,Main Meteorological Office
MN,Minnesota
MNLD,mainland
MNLND,mainland
MNLY,mainly
MNM,minimum
MNPS,Minimum Navigation Performance Specifications
MNT,monitor/monitoring/monitored
MO,Missouri
MOA,Military Operation Area
MOC,Minimum Obstruction Clearance
MOCA,Minimum Obstruction Clearance Altitude
MOD,moderate
MOGR,moderate or greater
MON,monday
MONTR,monitor
MORA,minimu off route altitude
MOS,Model Output Statistics
MOV,move
MOVD,moved
MOVG,moving
MOVMT,movement
MOVS,moves
MPH,miles per hour
MPS,meters per second
MRA,minimum reception altitude
MRF,medium range forecast
MRGL,marginal
MRGLLY,marginally
MRNG,morning
MRTM,maritime
MS,Mississippi/minus
MSA,minimum safe altitude
MSAW,minimum safe altitude warning
MSG,message
MSHP,mishap
MSL,mean sea level
MSLP,mean sea level pressure
MST,most
MST,mountain standard time
MSTLY,mostly
MSTR,moisture
MT,mountains
MTA,Military Train Area
MTAF,Mandatory Traffic Advisory Frequency
MTCA,Minimum Terrain Clearance Altitude
MTMA,Military Terminal Control Area
MTN,mountain
MTNS,mountains
MTOW,Maximum Take Off Weight
MTW,mountain waves
MUD,mud
MULT,multiple
MULTILVL,multi-level
MUN,municipal
MUNI,municipal
MVA,Minimum Vectoring Altitude
MVFR,Marginal VFR
MX,mixed
MXD,mixed
N,north
N/A,not applicable
NA,not authorized
NAAS,Naval Auxiliary Air Station
NAB,not above
NAR,North American Routes
NAS,Naval Air Station
NAT,North Atlantic Traffic
NAT/OTS,North Atlantic Traffic/Organized Track System
NATL,national
NAV,navigation
NAVAID,navigational aid
NB,New Brunswick/northbound
NBND,northbound
NBRHD,neighborhood
NC,North Carolina
NCA,northern control area
NCD,clear sky
NCDC,National Climatic Data Center
NCRP,non compulsory reporting point
NCWX,no change in weather
ND,North Dakota
NDB,Non-Directional Beacon
NE,northeast
NEB,Nebraska
NEC,necessary
NEG,negative
NEGLY,negatively
NELY,northeasterly
NERN,northeastern
NEW ENG,New England
NEWD,northeastward
NFLD,Newfoundland
NGM,Nested Grid Model
NGT,night
NH,New Hampshire
NIL,none
NJ,New Jersey
NL,no layers
NLC,noctilucent cloud
NLT,not later than
NLY,northerly
NM,New Mexico
NMBR,number
NMBRS,numbers
NMC,National Meteorological Center
NML,normal
NMR,nautical mile radius
NMRS,numerous
NNE,north-northeast
NNELY,north-northeasterly
NNERN,north-northeastern
NNEWD,north-northeastward
NNNN,end of message
NNW,north-northwest
NNWLY,north-northwesterly
NNWRN,north-northwestern
NNWWD,north-northwestward
NO,no
NOAA,National Oceanic and Atmospheric Administration
NOGAPS,National Oceanographic Global Atmospheric Prediction System
NONSTD,nonstandard
NOPAC,Northern Pacific
NOPT,no procedure turn
NORPI,no pilot balloon observation will be filed
NOS,National Ocean Survey
NOSIG,no significant change is expected in next 2 hours
NOSPECI,no SPECI reports are taken at the station
NOSPL,no special observations taken
NOTAM,Notice to Airmen
NPRS,nonpersistent
NR,number/near
NRLY,nearly
NRN,northern
NRW,narrow
NS,Nova Scotia/nimbostratus
NSC,clear sky
NSCSWD,no small craft or storm warning are being displayed
NSW,no significant weather
NTAP,notice to airmen publication
NTFY,notify
NTFYD,notified
NV,Nevada
NVA,negative vorticity advection
NW,northwest
NWC,Naval Weapons Center
NWD,northward
NWLY,northwesterly
NWRN,northwestern
NWS,National Weather Service
NXT,next
NY,New York
O/A,on or about
O/R,on request
O/T,other times
OAC,oceanic area control
OAT,outside air temperature
OBND,outbound
OBS,observed
OBSC,obscured/obscure/obscuring
OBSCD,obscured
OBSCG,obscuring
OBST,obstruction/obstacle
OCA,Obstacle Clearance Altitude/Oceanic Control Area
OCFNT,occluded front
OCL,Obstruction Clearance Limit
OCLD,occlude
OCLDD,occluded
OCLDG,occluding
OCLDS,occludes
OCLN,occlusion
OCNL,occasional
OCNLY,occasionally
OCR,occur
OCRD,occurred
OCRG,occurring
OCRS,occurs
OCTA,Oceanic Control Area
ODALS,Omni-Directional Approach Light System
OFC,office
OFCM,Office of the Federal Coordinator for Meteorology
OFP,occluded frontal passage
OFSHR,offshore
OH,Ohio
OHD,overhead
OK,Oklahoma
OM,outer marker
OMNTS,over mountains
OMTNS,over mountains
ONSHR,on shore
ONT,Ontario
OPEN,open
OPNS,operations
OPR,operate, operator or operative
OPS,operations
OR,Oregon
ORGPHC,Orographic
ORIG,original
OSV,ocean station vessel
OTAS,on top and smooth
OTLK,outlook
OTP,on top
OTR,oceanic transitions routes
OTR,other
OTRW,otherwise
OTS,out of service
OUTFLO,outflow
OVC,overcast
OVHD,overhead
OVNGT,overnight
OVR,over
OVRN,overrun
OVRNG,overrunning
OVTK,overtake
OVTKG,overtaking
OVTKS,overtakes
P,more than
P6SM,visibility greater than 6 statute miles
PA,Pennsylvania
PAC,Pacific
PAEW,personnel and equipment working
PAPI,Precision Approach Path Indicator
PAR,Precision Approach Radar
PARL,parallel
PASS,pass
PAT,pattern
PAX,passenger(s)
PBL,planetary boundary layer/probable
PCL,pilot controlled light
PCN,pavement classification number
PCPN,precipitation
PCZ,positive control zone
PD,period
PDC,pre departure clearance
PDMT,predominant/predominate
PDS,periods
PDT,Pacific Daylight Time
PDW,priority delayed weather
PEN,peninsula
PERM,permanent
PGTSND,Puget Sound
PHYS,physical
PIBAL,pilot balloon observation
PIBALS,pilot balloon reports
PIREP,pilot weather report
PIREPS,pilot weather reports
PISE,no pilot balloon observation due to unfavorable sea conditions
PISO,no pilot balloon observations due to snow
PISTON,piston aircraft
PIWI,no pilot balloon observations due to high, or gusty, surface wind
PJE,parachute jumping exercise
PK WND,peak wind
